IsActive,1,2,3,4,5,6,7,8
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Appliques & Patches,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Beads,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Bows & Yo-Yos,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Decorative Stickers,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Elastic,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Feathers,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Jewellery Findings,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Loose Stones,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Rhinestones & Flatbacks,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Ribbons & Trim,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Sequins & Glitter,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embellishments & Trims,Sew-in Labels,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Embossing Powder,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Filling & Padding Material,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Filling & Padding Material,Batting & Stuffing,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Filling & Padding Material,Filling Pellets,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Filling & Padding Material,Pillow Forms,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Leather & Vinyl,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Pottery & Sculpting Materials,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Pottery & Sculpting Materials,Clay & Modelling Dough,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Pottery & Sculpting Materials,Papier Mache Mixes,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Pottery & Sculpting Materials,Plaster Gauze,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Pottery & Sculpting Materials,Pottery Slips,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Raw Candle Wax,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Textiles,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Textiles,Crafting Canvas,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Textiles,Crafting Canvas,Needlecraft Canvas,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Textiles,Crafting Canvas,Painting Canvas,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Textiles,Crafting Canvas,Plastic Canvas,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Textiles,Fabric,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Textiles,Interfacing,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Textiles,Printable Fabric,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Wick Tabs,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Wicks,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tool Accessories,,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tool Accessories,Craft Knife Blades,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tool Accessories,Craft Machine Cases & Covers,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tool Accessories,Sewing Machine Extension Tables,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tool Accessories,Sewing Machine Feet,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tool Accessories,Sewing Machine Replacement Parts,,,
0,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tool Accessories,Spinning Wheel Accessories,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tool Accessories,Stamp Blocks,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Blocking Mats,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Blocking Wires,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Colour Mixing Tools,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Colour Mixing Tools,Palette Knives,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Colour Mixing Tools,Palettes,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,Craft & Office Scissors,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,Craft Cutters & Embossers,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,Craft Knives,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,Craft Scoring Tools,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,Embossing Heat Tools,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,Embossing Pens & Styluses,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,Seam Rippers,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Cutting & Embossing Tools,Thread & Yarn Cutters,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Decoration Makers,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Measuring & Marking Tools,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Measuring & Marking Tools,Art Brushes,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Measuring & Marking Tools,Brayer Rollers,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Measuring & Marking Tools,Decorative Stamps,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Tools,Craft Measuring & Marking Tools,Drafting Compasses,,
